concessionaria,praca_de_pedagio,rodovia,uf,municipio,latitude,longitude,preco_categoria_1
AUTOPISTA FERNÃO DIAS,3 (Cambuí),BR-381,MG,Cambuí,-22.628487,-46.07789,
AUTOPISTA FERNÃO DIAS,5 (Carmo da Cachoeira),BR-381,MG,Carmo da Cachoeira,-21.5457,-45.240203,
AUTOPISTA FERNÃO DIAS,7 (Carmópolis de Minas),BR-381,MG,Carmópolis de Minas,-20.591486,-44.701506,
AUTOPISTA FERNÃO DIAS,8 (Itatiaiuçu),BR-381,MG,Itatiaiuçu,-20.268346,-44.423711,
AUTOPISTA FERNÃO DIAS,6 (Santo Antônio do Amparo),BR-381,MG,Santo Antônio do Amparo,-21.000367,-44.966967,
AUTOPISTA FERNÃO DIAS,4 (São Gonçalo),BR-381,MG,São Gonçalo do Sapucaí,-21.970441,-45.631188,
AUTOPISTA FERNÃO DIAS,1 Norte - Defasada (Mairiporã),BR-381,SP,Mairiporã,-23.34121,-46.573664,
AUTOPISTA FERNÃO DIAS,1 Norte (Mairiporã),BR-381,SP,Mairiporã,-23.322298,-46.581097,
AUTOPISTA FERNÃO DIAS,1 Sul (Mairiporã),BR-381,SP,Mairiporã,-23.330558,-46.578337,
AUTOPISTA FERNÃO DIAS,2 (Vargem),BR-381,SP,Vargem,-22.908685,-46.424877,
AUTOPISTA FLUMINENSE,Serrinha,BR-101,RJ,Campos dos Goytacazes,-22.04975,-41.685157,
AUTOPISTA FLUMINENSE,Conselheiro Josino,BR-101,RJ,Campos dos Goytacazes,-21.552594,-41.331597,
AUTOPISTA FLUMINENSE,Casimiro de Abreu,BR-101,RJ,Casimiro de Abreu,-22.476441,-42.088519,
AUTOPISTA FLUMINENSE,Rio Bonito,BR-101,RJ,Rio Bonito,-22.687469,-42.539855,
AUTOPISTA FLUMINENSE,São Gonçalo,BR-101,RJ,São Gonçalo,-22.774713,-42.9455,
AUTOPISTA LITORAL SUL,P1,BR-376,PR,São José dos Pinhais,-25.747708,-49.129655,
AUTOPISTA LITORAL SUL,P3,BR-101,SC,Araquari,-26.591635,-48.722079,
AUTOPISTA LITORAL SUL,P5,BR-101,SC,Palhoça,-27.885105,-48.647677,
AUTOPISTA LITORAL SUL,P4,BR-101,SC,Porto Belo,-27.185065,-48.612362,
AUTOPISTA LITORAL SUL,P2,BR-101,SC,Garuva,-25.991898,-48.881469,
AUTOPISTA PLANALTO SUL,MONTE CASTELO,BR-116,SC,Monte Castelo,-26.570363,-50.221795,
AUTOPISTA PLANALTO SUL,SANTA CECÍLIA,BR-116,SC,Santa Cecília,-27.010584,-50.428716,
AUTOPISTA PLANALTO SUL,CORREIA PINTO,BR-116,SC,Correia Pinto,-27.010584,-50.374335,
AUTOPISTA PLANALTO SUL,RIO NEGRO,BR-116,PR,Rio Negro,-26.07058,-49.739911,
AUTOPISTA PLANALTO SUL,FAZENDA RIO GRANDE,BR-116,PR,Fazenda Rio Grande,-25.713458,-49.318037,
AUTOPISTA REGIS BITTENCOURT,Campina Grande do Sul,BR-116,PR,Campina Grande do Sul,-25.289252,-48.933841,
AUTOPISTA REGIS BITTENCOURT,Miracatu,BR-116,SP,Miracatu,-24.157869,-47.32628,
AUTOPISTA REGIS BITTENCOURT,Juquiá,BR-116,SP,Juquiá,-24.389325,-47.722391,
AUTOPISTA REGIS BITTENCOURT,São Lourenço da Serra,BR-116,SP,São Lourenço da Serra,-23.787647,-46.913922,
AUTOPISTA REGIS BITTENCOURT,Barra do Turvo,BR-116,SP,Barra do Turvo,-24.964044,-48.412,
AUTOPISTA REGIS BITTENCOURT,Cajati,BR-116,SP,Cajati,-24.722483,-48.08258,
CONCEBRA,P10 PERDIZES,BR-262,MG,Perdizes,-19.617614,-47.346547,
CONCEBRA,P5 PRATA,BR-153,MG,Prata,-19.471586,-48.871046,
CONCEBRA,P8 LUZ,BR-262,MG,Luz,-19.788259,-45.58463,
CONCEBRA,P11 CAMPO FLORIDO,BR-262,MG,Conceição das Alagoas,-19.776951,-48.458219,
CONCEBRA,P7 FLORESTAL,BR-262,MG,Florestal,-19.909615,-44.506725,
CONCEBRA,P6 FRONTEIRA,BR-153,MG,Fronteira,-20.142521,-49.110488,
CONCEBRA,P9 CAMPOS ALTOS,BR-262,MG,Campos Altos,-19.647341,-46.240088,
CONCEBRA,P1 ALEXÂNIA,BR-60,GO,Alexânia,-16.115707,-48.58924,
CONCEBRA,P2 GOIANÁPOLIS,BR-60,GO,Goianápolis,-16.438631,-49.019137,
CONCEBRA,P4 ITUMBIARA,BR-153,GO,Itumbiara,-18.268544,-49.245811,
CONCEBRA,P3 PROF JAMIL,BR-153,GO,Piracanjuba,-17.16318,-49.212582,
CONCER,P1,BR-40,RJ,Duque de Caxias,-22.609965,-43.285552,
CONCER,P2,BR-40,RJ,Areal,-22.284389,-43.120269,
CONCER,P3,BR-40,MG,Simão Pereira,-21.928252,-43.316282,
CRO,P3,BR-364,MT,Campo Verde,-15.81,-55.31,
CRO,P1,BR-163,MT,Itiquira,-17.219391,-54.758685,
CRO,P5,BR-364,MT,Jangada,-15.349875,-56.415628,
CRO,P8,BR-163,MT,Lucas do Rio Verde,-13.26599,-56.022777,
CRO,P6,BR-364,MT,Nobres,-14.599728,-56.240858,
CRO,P7,BR-163,MT,Nova Mutum,-13.91952,-56.093419,
CRO,P2,BR-364,MT,Rondonópolis,-16.393565,-54.714281,
CRO,P4,BR-364,MT,Santo Antônio de Leverger,-15.702041,-55.829527,
CRO,P9,BR-163,MT,Sorriso,-12.441635,-55.653798,
ECO050,CAMPO ALEGRE,BR-50,GO,Campo Alegre de Goiás,-17.77,-47.75,
ECO050,IPAMERI,BR-50,GO,Ipameri,-17.12,-47.72,
ECO050,UBERABA,BR-50,MG,Uberaba,-19.18,-48.16,
ECO050,ARAGUARI I,BR-50,MG,Araguari,-18.54,-48.05,
ECO050,ARAGUARI II,BR-50,MG,Araguari,-18.75,-48.24,
ECO050,DELTA,BR-50,MG,Delta,-19.92,-47.83,
ECOSUL,Praça Glória,BR-392,RS,Canguçu,-31.449786,-52.640644,
ECOSUL,Praça Pavão,BR-116,RS,Capão do Leão,-31.820075,-52.526711,
ECOSUL,Praça Cristal,BR-116,RS,Cristal,-31.026386,-52.04943,
ECOSUL,Praça Retiro,BR-116,RS,Pelotas,-31.625261,-52.318116,
ECOSUL,Praça Capão Seco,BR-392,RS,Rio Grande,-31.851958,-52.326177,
ECOVIAS CAPIXABA,P3 - Aracruz,BR-101,ES,Aracruz,-19.563099,-40.177621,
ECOVIAS CAPIXABA,P5 - Guarapari,BR-101,ES,Guarapari,-20.519316,-40.478609,
ECOVIAS CAPIXABA,P6 - Itapemirim,BR-101,ES,Itapemirim,-20.878586,-40.966118,
ECOVIAS CAPIXABA,P7 - Mimoso do Sul,BR-101,ES,Mimoso do Sul,-21.158397,-41.280614,
ECOVIAS CAPIXABA,P1 - Pedro Canário,BR-101,ES,Pedro Canário,-18.184708,-39.922116,
ECOVIAS CAPIXABA,P2 - São Mateus,BR-101,ES,São Mateus,-18.863974,-39.938705,
ECOVIAS CAPIXABA,P4 - Serra,BR-101,ES,Serra,-20.032565,-40.396624,
ECOVIAS DO ARAGUAIA,P1 - Aliança do Tocantins,BR-153,TO,Aliança do Tocantins,-11.4461,-48.990283,
ECOVIAS DO ARAGUAIA,P2 - Alvorada,BR-153,TO,Alvorada,-12.34,-49.15,
ECOVIAS DO ARAGUAIA,P3 - Porangatu,BR-153,GO,Porangatu,-12.943414,-49.133122,
ECOVIAS DO ARAGUAIA,P8 - Santa Rita do Novo Destino,BR-80,GO,Santa Rita do Novo Destino,-14.814189,-49.042442,
ECOVIAS DO ARAGUAIA,P9 - Corumbá de Goiás,BR-414,GO,Corumbá de Goiás,-16.001028,-48.840289,
